datum;tag;warengruppe;name;kennz;preis;stud;bed;gast
15.12.2016;Do;HG1;Käsespätzle hausgemacht (3,A,C,G);V;2,20 / 2,90 / 3,90;2,20;2,90;3,90
15.12.2016;Do;HG2;Paprikarahmschnitzel mit Reis (2,3,A,G,I);S;3,00 / 3,80 / 4,50;3,00;3,80;4,50
15.12.2016;Do;HG3;Rinderbraten in Rotweinsauce*R (3,16,A,C,I,AA);A;4,20 / 5,20 / 5,70;4,20;5,20;5,70
15.12.2016;Do;B1;Gemüsereis (3,I);VG;0,60 / 0,80 / 1,30;0,60;0,80;1,30
15.12.2016;Do;B2;Blumenkohlsalat türkisch (H);VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
15.12.2016;Do;B3;Böhmische Knödel (A,C,G);V;0,90 / 1,10 / 1,60;0,90;1,10;1,60
15.12.2016;Do;B4;Spätzle hausgemacht (3,A,C,AA);V;0,90 / 1,10 / 1,60;0,90;1,10;1,60
15.12.2016;Do;B5;Blaukraut-Preiselbeerrohkost (3,16);VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
15.12.2016;Do;B6;Salatmix I;VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
15.12.2016;Do;B7;Bio - Blaukraut;B,VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
15.12.2016;Do;B8;Salat Buffet (3,6,16,G,L);;3,00 / 3,50 / 4,20;3,00;3,50;4,20
15.12.2016;Do;N1;Bananenquark (G);V;0,70 / 0,90 / 1,30;0,70;0,90;1,30
15.12.2016;Do;N2;Schokopudding (G);V;0,70 / 0,90 / 1,30;0,70;0,90;1,30
15.12.2016;Do;N3;Fruchtzauber (F,G);V;1,00 / 1,30 / 1,50;1,00;1,30;1,50
16.12.2016;Fr;Suppe;Bärlauchcremesuppe (3,A,G,I);V;0,60 / 0,80 / 1,30;0,60;0,80;1,30
16.12.2016;Fr;HG1;Germknödel mit Vanillesauce (A,C,G,AA);V;1,90 / 2,70 / 3,50;1,90;2,70;3,50
16.12.2016;Fr;HG2;Scholle pan. mit Kräuterquark Dipp und Petersilienkarto. (5,A,D,G,I);F;2,20 / 2,90 / 3,90;2,20;2,90;3,90
16.12.2016;Fr;HG3;Crunchy-Chicken-Burger mit Pommes Frites (3,16,A,F,I,K);G;3,00 / 3,80 / 4,50;3,00;3,80;4,50
16.12.2016;Fr;B1;Petersilienkartoffeln (5);VG;0,60 / 0,80 / 1,30;0,60;0,80;1,30
16.12.2016;Fr;B2;Gemüsemix Excellence (3,I);VG;0,70 / 0,90 / 1,40;0,70;0,90;1,40
16.12.2016;Fr;B3;Rote Rübensalat (9);VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
16.12.2016;Fr;B4;Salatmix III;VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
16.12.2016;Fr;B5;Kohlrabirohkost (9,C,G,H,J);V;0,90 / 1,10 / 1,60;0,90;1,10;1,60
16.12.2016;Fr;B6;Pommes frites;VG;0,90 / 1,10 / 1,60;0,90;1,10;1,60
16.12.2016;Fr;B7;Salat Buffet (3,6,16,G,L);;3,00 / 3,50 / 4,20;3,00;3,50;4,20
16.12.2016;Fr;N1;Preiselbeerjoghurt (3,G);V;0,70 / 0,90 / 1,30;0,70;0,90;1,30
16.12.2016;Fr;N2;Kirschbecher (3,8,A,C,F,G);V,A;1,00 / 1,30 / 1,50;1,00;1,30;1,50
